Station Name,Street Address,City,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,Geocode Status,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing
DC CORRIDOR NUGGET DC1,130 Browns Valley Pkwy,Vacaville,95688,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,38.36486,-121.968013,2021-01-27,CHADEMO J1772COMBO,,
PALO ALTO CA SHERMAN 15,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426774,-122.143402,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 16,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.4268,-122.143354,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 1,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426597,-122.143286,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 11,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426718,-122.143327,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 5,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426642,-122.143373,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 3,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426619,-122.143325,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 6,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426584,-122.143421,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 8,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426615,-122.143457,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 10,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426725,-122.143212,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 12,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426752,-122.143258,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 14,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426778,-122.143307,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 13,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426747,-122.143364,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 4,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426563,-122.143377,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 9,350 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426669,-122.143254,2021-01-27,J1772,,
PALO ALTO CA SHERMAN 17,358 Sherman Ave,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.426821,-122.143391,2021-01-27,J1772,,
PARK STRUCTURE FULLERTON 12,321 E Chapman Ave,Fullerton,92832,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.876587,-117.919309,2021-01-27,J1772,,
PARK STRUCTURE FULLERTON 9,321 E Chapman Ave,Fullerton,92832,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.876655,-117.91934,2021-01-27,J1772,,
PARK STRUCTURE FULLERTON 10,321 E Chapman Ave,Fullerton,92832,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.876583,-117.919323,2021-01-27,J1772,,
PARK STRUCTURE FULLERTON 2,802 N Lemon St,Fullerton,92832,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.876788,-117.919547,2021-01-27,J1772,,
PARK STRUCTURE FULLERTON 11,802 N Lemon St,Fullerton,92832,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.876789,-117.919538,2021-01-27,J1772,,
PARK STRUCTURE FULLERTON 7,802 N Lemon St,Fullerton,92832,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.876811,-117.919538,2021-01-27,J1772,,
DC CORRIDOR UKIAH BK L2,711 E Perkins St,Ukiah,95482,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,39.151359,-123.194612,2021-01-27,J1772,,
HCP STATION 5,400 Saginaw Dr,Redwood City,94063,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.503568,-122.22012,2021-01-27,J1772,,
CM CITY HALL EVCS-2,77 Fair Dr,Costa Mesa,92626,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.663144,-117.902462,2021-01-27,J1772,,
CM CITY HALL EVCS-1,77 Fair Dr,Costa Mesa,92626,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.662105,-117.902927,2021-01-27,J1772,,
CM CITY HALL EVCS-4,77 Fair Dr,Costa Mesa,92626,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.662632,-117.902794,2021-01-27,J1772,,
CM CITY HALL EVCS-5,77 Fair Dr,Costa Mesa,92626,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.663061,-117.902822,2021-01-27,J1772,,
THE MARSTON LEVEL 1 RIGHT,891 Marshall St,Redwood City,94063,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.488019,-122.225586,2021-01-27,J1772,,
COUNTY EV 1-2,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.4078,-121.95269,2021-01-27,J1772,,
COUNTY EV 17-18,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.40765,-121.95309,2021-01-27,J1772,,
COUNTY EV 7-8,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407636,-121.953022,2021-01-27,J1772,,
COUNTY EV 19-20,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407701,-121.953088,2021-01-27,J1772,,
COUNTY EV 67-78,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.40722,-121.952368,2021-01-27,J1772,,
COUNTY EV 61-62,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407745,-121.952677,2021-01-27,J1772,,
COUNTY EV 51-52,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407784,-121.9525,2021-01-27,J1772,,
COUNTY EV 55-56,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407414,-121.952438,2021-01-27,J1772,,
COUNTY EV 75-76,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407215,-121.952174,2021-01-27,J1772,,
COUNTY EV 73-74,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407098,-121.952204,2021-01-27,J1772,,
COUNTY EV 69-70,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407781,-121.952693,2021-01-27,J1772,,
COUNTY EV 3-4,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407539,-121.952895,2021-01-27,J1772,,
COUNTY EV 33,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.40784,-121.9532,2021-01-27,J1772,,
COUNTY EV 77-78,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407329,-121.952266,2021-01-27,J1772,,
COUNTY EV 43-44,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407817,-121.952601,2021-01-27,J1772,,
COUNTY EV 71-72,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407134,-121.952241,2021-01-27,J1772,,
COUNTY EV 53-54,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407733,-121.952632,2021-01-27,J1772,,
COUNTY EV 63-64,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407244,-121.952316,2021-01-27,J1772,,
COUNTY EV 41-42,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.40777,-121.952524,2021-01-27,J1772,,
COUNTY EV 49-50,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407404,-121.952536,2021-01-27,J1772,,
COUNTY EV 11-12,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.408021,-121.952712,2021-01-27,J1772,,
COUNTY EV 35-36,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407618,-121.952665,2021-01-27,J1772,,
COUNTY EV 59-60,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407319,-121.952607,2021-01-27,J1772,,
COUNTY EV 34,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.407189,-121.952214,2021-01-27,J1772,,
COUNTY EV 5-6,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.40754,-121.952974,2021-01-27,J1772,,
COUNTY EV 37-38,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407837,-121.952711,2021-01-27,J1772,,
COUNTY EV 9-10,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.40791,-121.952623,2021-01-27,J1772,,
COUNTY EV 39-40,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407745,-121.952452,2021-01-27,J1772,,
COUNTY EV 29-30,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407791,-121.953187,2021-01-27,J1772,,
COUNTY EV 27-28,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407786,-121.953297,2021-01-27,J1772,,
COUNTY EV 79-80,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407065,-121.952223,2021-01-27,J1772,,
COUNTY EV 65-66,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407764,-121.952611,2021-01-27,J1772,,
COUNTY EV 15-16,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407778,-121.952686,2021-01-27,J1772,,
COUNTY EV 57-58,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.40724,-121.952194,2021-01-27,J1772,,
COUNTY EV 21-22,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407787,-121.953225,2021-01-27,J1772,,
COUNTY EV 23-24,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.40808,-121.952993,2021-01-27,J1772,,
COUNTY EV 25-26,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407773,-121.953218,2021-01-27,J1772,,
COUNTY EV 47-48,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407839,-121.952554,2021-01-27,J1772,,
COUNTY EV 31-32,150 W Tasman Dr,San Jose,95134,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.407833,-121.953404,2021-01-27,J1772,,
META MPK27-04,162 Jefferson Dr MPK 27,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.479824,-122.172774,2021-01-27,J1772,,
META MPK27-06,162 Jefferson Dr MPK 27,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.479786,-122.172733,2021-01-27,J1772,,
META MPK27-05,162 Jefferson Dr MPK 27,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.479802,-122.172718,2021-01-27,J1772,,
META MPK23-01,300 Constitution Dr MPK 23,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.481708,-122.167446,2021-01-27,J1772,,
META MPK23-02,300 Constitution Dr MPK 23,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.481654,-122.167473,2021-01-27,J1772,,
META MPK14-03,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485368,-122.149443,2021-01-27,J1772,,
META MPK14-04,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485402,-122.149495,2021-01-27,J1772,,
META MPK14-06,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485469,-122.149587,2021-01-27,J1772,,
META MPK14-01,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485143,-122.149426,2021-01-27,J1772,,
META MPK14-02,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485154,-122.149407,2021-01-27,J1772,,
META MPK14-10,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485629,-122.149526,2021-01-27,J1772,,
META MPK14-09,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485592,-122.149483,2021-01-27,J1772,,
META MPK14-07,1 Hacker Way Building 14,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485517,-122.1494,2021-01-27,J1772,,
META MPK15-03 GW,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.484052,-122.147809,2021-01-27,J1772,,
META MPK15-04,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.483983,-122.147739,2021-01-27,J1772,,
META MPK15-09,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.483962,-122.147627,2021-01-27,J1772,,
META MPK15-06,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.483862,-122.147629,2021-01-27,J1772,,
META MPK15-02,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.484018,-122.148137,2021-01-27,J1772,,
META MPK15-01,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.483921,-122.148226,2021-01-27,J1772,,
META MPK15-10,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.483903,-122.147554,2021-01-27,J1772,,
META MPK15-08,1 Hacker Way Building 15,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.48403,-122.14768,2021-01-27,J1772,,
META MPK12-01,1 Hacker Way MPK 12,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.484315,-122.150198,2021-01-27,J1772,,
META MPK12-02,1 Hacker Way MPK 12,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.484274,-122.150229,2021-01-27,J1772,,
META MPK17-10,1 Hacker Way Building 17,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.484792,-122.146382,2021-01-27,J1772,,
META MPK18-09,1 Hacker Way Building 18,Menlo Park,94025,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.485898,-122.145717,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 91-92,562 9th St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802264,-122.275988,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 69-70,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802378,-122.27586,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 65-66,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802297,-122.275784,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 63-64,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802259,-122.27578,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 67-68,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802177,-122.275848,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 61-62,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802314,-122.275736,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 59-60,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802323,-122.275749,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 56,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.802438,-122.275719,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 03,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.802674,-122.276378,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 01-02,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802628,-122.276404,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 57-58,901 Clay St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802357,-122.275741,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 48-49,572 9th St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802237,-122.276164,2021-01-27,J1772,,
OLD TOWN SQUARE STATION 40-41,592 9th St,Oakland,94607,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.802331,-122.276489,2021-01-27,J1772,,
HCP 700 CHESAPEAKE1,700 Chesapeake Dr,Redwood City,94063,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.500173,-122.213253,2021-01-27,J1772,,
HCP 700 CHESAPEAKE2,700 Chesapeake Dr,Redwood City,94063,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.500208,-122.213183,2021-01-27,J1772,,
PATHLINE PARK PSC 44,800 Del Rey Ave,Sunnyvale,94085,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.392812,-122.034963,2021-01-27,J1772,,
HOWARD CDM THE EXCHANGE 2,17434 BELLFLOWER BLVD,BELLFLOWER,90706,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.873673,-118.124241,2021-01-27,J1772,,
HOWARD CDM THE EXCHANGE 1,17434 BELLFLOWER BLVD,BELLFLOWER,90706,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.873891,-118.124255,2021-01-27,J1772,,
EUREKA SQUARE 90 EUREKA 1,20-210 Eureka Square Dr,Pacifica,94044,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.632609,-122.489106,2021-01-27,J1772,,
UCSD SCHOLARS - 13,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.879872,-117.242153,2021-01-27,J1772,,
UCSD SCHOLARS - 01,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.879898,-117.242157,2021-01-27,J1772,,
UCSD SCHOLARS - 02,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.879865,-117.242136,2021-01-27,J1772,,
UCSD SCHOLARS - 06,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,32.87991,-117.242154,2021-01-27,J1772,,
UCSD SCHOLARS - 05,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.879906,-117.242177,2021-01-27,J1772,,
UCSD SCHOLARS - 03,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.87997,-117.242165,2021-01-27,J1772,,
UCSD SCHOLARS - 11,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.87988,-117.242138,2021-01-27,J1772,,
UCSD SCHOLARS - 10,9655 Scholars Drive North,La Jolla,92093,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.879897,-117.242117,2021-01-27,J1772,,
UCSD SCHOLARS - 07,9500 Gilman Dr,San Diego,92161,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.879892,-117.242012,2021-01-27,J1772,,
UCSD SCHOLARS - 09,9500 Gilman Dr,San Diego,92161,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,32.87988,-117.242141,2021-01-27,J1772,,
500 J SAWYER GA STATION 5,500 J St P2,Sacramento,95814,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.580892,-121.498905,2021-01-27,J1772,,
500 J SAWYER GA STATION 7,500 J St P2,Sacramento,95814,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,38.581702,-121.498918,2021-01-27,J1772,,
COUNTY HIGHLAND 2,90 Highland Ave,San Martin,95046,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.073586,-121.604421,2021-01-27,J1772,,
7-ELEVEN 33646 W SAC DC3,4010 Lake Rd,West Sacramento,95691,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,38.573005,-121.579329,2021-01-27,CHADEMO J1772COMBO,,
7-ELEVEN 33646 W SAC DC2,4010 Lake Rd,West Sacramento,95691,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,38.57299,-121.579352,2021-01-27,CHADEMO J1772COMBO,,
7-ELEVEN 33646 W SAC DC1,4010 Lake Rd,West Sacramento,95691,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,38.572973,-121.579381,2021-01-27,CHADEMO J1772COMBO,,
LANCASTER OMP #1,43063 10TH ST W,Lancaster,93534,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,34.666718,-118.149088,2021-01-27,J1772,,
SHPDM LLC STATION 2,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,37.423857,-122.144895,2021-01-27,J1772,,
SHPDM LLC STATION 5,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.42401,-122.144971,2021-01-27,J1772,,
SHPDM LLC STATION 4,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.424055,-122.144968,2021-01-27,J1772,,
SHPDM LLC STATION 1,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.424032,-122.144928,2021-01-27,J1772,,
SHPDM LLC STATION 6,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.42369,-122.144727,2021-01-27,J1772,,
SHPDM LLC STATION 7,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.423662,-122.144728,2021-01-27,J1772,,
SHPDM LLC STATION 9,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.423611,-122.144624,2021-01-27,J1772,,
SHPDM LLC STATION 8,2600 El Camino Real,Palo Alto,94306,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,37.423619,-122.144757,2021-01-27,J1772,,
YORBA LINDA PS LCAC 4,4802 Lakeview Ave,Yorba Linda,92886,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,33.891315,-117.80984,2021-01-27,J1772,,
YORBA LINDA PS LCAC 2,4802 Lakeview Ave,Yorba Linda,92886,888-758-4389,Public,24 hours daily,,1,,,ChargePoint Network,GPS,33.891296,-117.80995,2021-01-27,J1772,,
DC CORRIDOR BAKERSFIELD DC1,1631 Comanche Dr,Bakersfield,93307,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,35.340259,-118.841267,2021-01-27,CHADEMO J1772COMBO,,
DC CORRIDOR BAKERSFIELD DC2,1631 Comanche Dr,Bakersfield,93307,888-758-4389,Public,24 hours daily,,,1,,ChargePoint Network,GPS,35.340257,-118.841318,2021-01-27,CHADEMO J1772COMBO,,
CITY OF NAPA COOMBS 2,901 Coombs St,Napa,94559,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.297962,-122.286633,2021-01-27,J1772,,
CITY OF NAPA COOMBS 1,901 Coombs St,Napa,94559,888-758-4389,Public,24 hours daily,,2,,,ChargePoint Network,GPS,38.297921,-122.286582,2021-01-27,J1772,,
TARGET CORP T2772 05,125 Shoreline Blvd,San Rafael,94901,888-758-4389,Public,Mon 7:00am - 12:00am; Tue 7:00am - 12:00am; Wed 7:00am - 12:00am; Thu 7:00am - 12:00am; Fri 7:00am - 12:00am; Sat 7:00am - 12:00am; Sun 7:00am - 12:00am,,2,,,ChargePoint Network,GPS,37.954262,-122.490488,2021-01-27,J1772,,
TARGET CORP T2772 08,Shoreline Pkwy,San Rafael,94901,888-758-4389,Public,Mon 7:00am - 12:00am; Tue 7:00am - 12:00am; Wed 7:00am - 12:00am; Thu 7:00am - 12:00am; Fri 7:00am - 12:00am; Sat 7:00am - 12:00am; Sun 7:00am - 12:00am,,2,,,ChargePoint Network,GPS,37.954149,-122.490506,2021-01-27,J1772,,
